fixedacidity,volatileacidity,residualsugar,chlorides,totalsulfurdioxide,density,pH,alcohol
6.2,0.2,15.0,0.055,120.0,0.99767,3.19,9.6
7.8,0.3,1.8,0.033,156.0,0.991,3.29,12.8
9.8,0.31,15.4,0.046,119.0,1.0004,3.18,9.5
6.7,0.27,13.9,0.029,131.0,0.9953,3.36,12.0
5.9,0.35,2.2,0.11,138.0,0.9932,3.09,9.1
6.3,0.6,11.0,0.05,245.0,0.9972,3.19,9.3
6.4,0.23,2.1,0.042,100.0,0.99094,3.03,10.9
6.7,0.41,5.4,0.035,115.0,0.9901,3.12,12.8933333333333
6.8,0.27,4.6,0.046,88.0,0.99458,3.34,10.6
6.7,0.41,2.6,0.033,85.0,0.99086,3.05,11.7
8.3,0.4,8.2,0.05,122.0,0.9979,3.39,9.3
9.0,0.43,1.5,0.05,175.0,0.9951,3.11,9.7
5.4,0.23,1.5,0.03,121.0,0.98976,3.24,12.1
7.9,0.36,12.9,0.049,139.0,0.99792,2.94,9.1
7.5,0.35,2.5,0.066,89.0,0.98964,3.14,12.7
5.9,0.24,1.4,0.035,247.0,0.99358,3.34,9.6
7.0,0.2,6.1,0.037,120.0,0.9939,3.24,10.8
7.0,0.24,4.2,0.04,213.0,0.9927,3.28,11.8
6.5,0.23,1.9,0.036,98.0,0.99,3.19,11.9
7.4,0.16,1.2,0.055,150.0,0.9917,3.23,11.2
7.2,0.19,11.2,0.061,149.0,0.99772,2.99,9.3
5.8,0.28,4.2,0.044,158.0,0.992,3.35,10.7
6.5,0.29,9.15,0.051,166.0,0.99339,3.24,11.3333333333333
6.4,0.28,8.3,0.042,195.0,0.99577,3.22,9.4
6.4,0.25,7.8,0.045,209.0,0.9956,3.21,9.2
6.6,0.23,11.4,0.044,131.0,0.99604,2.96,9.7
5.3,0.31,10.5,0.031,140.0,0.99321,3.34,11.7
6.1,0.25,7.6,0.052,226.0,0.9956,3.16,8.9
7.0,0.31,9.1,0.036,140.0,0.99216,2.98,12.0
6.5,0.31,13.0,0.053,123.0,0.99708,3.09,9.3
7.6,0.2,14.2,0.056,212.5,0.999,3.14,8.9
6.3,0.36,2.5,0.035,73.0,0.98868,3.1,12.8
5.8,0.15,1.1,0.048,98.0,0.9929,3.19,9.2
7.4,0.16,15.5,0.05,135.0,0.9984,2.9,8.7
6.3,0.32,12.3,0.044,205.0,0.99611,3.11,9.9
7.3,0.28,1.2,0.039,99.0,0.99198,3.01,10.8
8.2,0.345,18.2,0.047,205.0,0.99965,2.96,9.6
8.0,0.25,17.2,0.036,219.0,0.9996,2.96,9.7
7.3,0.25,7.2,0.048,207.0,0.99587,3.12,9.2
6.4,0.31,2.5,0.039,137.0,0.98946,3.22,12.7
8.0,0.16,1.5,0.033,122.0,0.9941,3.2,10.3
6.7,0.28,8.9,0.048,111.0,0.99455,3.25,11.0
8.3,0.17,1.5,0.049,153.0,0.9942,3.12,9.4
7.9,0.22,14.2,0.038,141.0,0.9992,3.03,9.2
5.9,0.29,12.0,0.057,224.0,0.9981,3.23,9.0
5.7,0.31,7.3,0.05,143.0,0.99332,3.31,11.0666666666667
6.7,0.265,8.6,0.048,198.0,0.9955,3.25,10.2
6.5,0.14,2.7,0.037,89.0,0.9924,3.4,11.5
6.6,0.38,4.6,0.044,78.0,0.9931,3.11,10.2
6.8,0.3,6.6,0.123,116.0,0.9953,3.07,9.4
5.7,0.23,9.65,0.025,121.0,0.9925,3.28,11.3
7.5,0.27,11.95,0.04,159.0,0.99839,2.98,8.7
6.6,0.17,7.4,0.052,128.0,0.99388,3.16,10.0
6.4,0.22,1.8,0.057,104.0,0.9959,3.81,10.3
7.0,0.28,14.6,0.043,168.0,0.9994,3.34,8.8
9.8,0.44,2.8,0.036,167.0,0.9956,2.97,9.2
8.4,0.17,6.7,0.038,132.0,0.9945,3.1,10.6
7.1,0.32,9.9,0.041,192.0,0.99642,3.12,10.2
6.8,0.27,1.5,0.044,142.0,0.9921,3.1,9.9
5.4,0.46,2.1,0.026,130.0,0.98953,3.39,13.4
8.3,0.26,9.2,0.042,162.0,0.9944,3.1,12.0
7.0,0.21,6.0,0.046,108.0,0.9939,3.26,10.8
6.3,0.19,10.1,0.063,133.0,0.99561,2.86,9.1
6.5,0.19,1.3,0.046,107.0,0.9937,3.29,10.0
7.6,0.15,4.3,0.051,98.0,0.99422,3.1,9.5
7.4,0.36,1.9,0.036,119.0,0.99196,3.15,11.2
6.3,0.34,5.8,0.041,145.0,0.9943,3.15,9.9
6.6,0.16,9.8,0.049,137.0,0.995,3.16,10.0
7.0,0.27,1.3,0.173,121.0,0.99334,3.04,9.2
7.3,0.25,6.4,0.034,84.0,0.9942,3.18,11.5
7.2,0.22,5.5,0.054,183.0,0.99474,3.08,10.3
6.4,0.27,8.3,0.05,196.0,0.9955,3.18,9.5
6.4,0.12,6.4,0.042,161.0,0.9945,3.34,10.4
6.3,0.17,5.7,0.048,147.0,0.99382,3.08,10.0
6.7,0.25,7.2,0.038,220.0,0.9952,3.14,9.5
6.5,0.35,0.8,0.034,111.0,0.98942,3.11,12.1
6.5,0.18,1.4,0.029,138.0,0.99114,3.36,11.5
8.3,0.2,1.7,0.04,169.0,0.9938,3.05,10.1
6.2,0.32,4.1,0.051,149.0,0.99306,3.36,11.0
6.2,0.3,3.5,0.037,155.0,0.98987,3.18,12.4
7.0,0.61,1.7,0.051,161.0,0.9946,3.36,10.6
6.1,0.29,1.7,0.024,76.0,0.9893,3.21,12.6
5.5,0.14,4.6,0.029,104.0,0.9949,3.34,9.0
5.5,0.315,2.6,0.033,69.0,0.9909,3.12,10.8
6.6,0.19,1.2,0.122,129.0,0.9936,3.09,8.7
8.0,0.28,7.1,0.045,169.0,0.9959,3.17,10.6
5.5,0.24,8.7,0.06,102.0,0.994,3.27,10.4
6.1,0.17,4.5,0.033,150.0,0.9933,3.43,10.9
6.0,0.25,5.7,0.052,152.0,0.99398,3.16,10.5
6.1,0.38,1.4,0.051,210.0,0.99309,3.24,9.6
6.6,0.34,1.0,0.053,112.0,0.99336,3.32,9.1
7.0,0.2,1.1,0.058,93.0,0.99322,3.03,9.2
6.4,0.38,8.2,0.043,98.0,0.99234,2.99,11.4
6.6,0.25,1.6,0.046,134.0,0.993,3.42,10.1
5.6,0.12,4.3,0.038,97.0,0.99477,3.36,9.2
6.7,0.11,8.8,0.043,113.0,0.9962,3.42,9.3
7.1,0.64,1.8,0.05,128.0,0.9946,3.31,10.6
9.8,0.36,10.5,0.038,83.0,0.9956,2.89,10.1
8.6,0.18,1.1,0.04,107.0,0.9923,2.94,10.2
6.8,0.22,17.5,0.039,153.0,0.9994,3.24,9.0
6.8,0.19,17.5,0.042,114.0,0.99784,2.85,9.5
7.5,0.15,1.8,0.054,101.0,0.9946,3.24,10.0
6.4,0.37,4.85,0.041,216.5,0.99432,3.1,9.8
5.2,0.405,1.45,0.038,44.0,0.99125,3.52,11.6
5.7,0.33,1.4,0.043,93.0,0.9897,3.31,12.3
6.8,0.32,1.6,0.05,65.0,0.99346,3.27,10.7
7.2,0.34,12.6,0.048,41.0,0.9942,3.19,11.7
5.0,0.24,1.1,0.034,158.0,0.98774,3.32,13.1
7.0,0.31,7.4,0.069,160.0,0.9954,3.13,9.8
5.9,0.23,12.9,0.054,170.0,0.9972,3.28,9.4
6.1,0.28,19.95,0.074,174.0,0.99922,3.19,9.3
9.2,0.71,6.2,0.042,93.0,0.9948,2.89,10.1
6.3,0.12,2.1,0.044,146.0,0.9914,3.27,11.4
6.7,0.33,6.4,0.058,151.0,0.9954,3.16,9.6
5.9,0.18,5.1,0.039,139.0,0.99165,3.16,11.3
6.2,0.3,1.7,0.032,130.0,0.9911,3.28,11.2
4.8,0.13,1.2,0.042,98.0,0.9898,3.42,11.8
6.7,0.24,8.7,0.036,148.0,0.9952,3.22,9.9
8.0,0.74,4.0,0.05,133.0,0.99418,3.06,9.7
6.9,0.32,8.3,0.053,180.0,0.9965,3.25,9.2
6.3,0.18,1.5,0.043,155.0,0.99238,3.19,10.2
7.5,0.18,4.6,0.041,158.0,0.9927,3.01,10.6
8.5,0.3,3.1,0.054,174.0,0.99543,3.21,9.4
7.5,0.23,7.7,0.049,209.0,0.9941,3.14,11.1
6.8,0.28,11.9,0.052,149.0,0.99544,3.02,10.4
7.2,0.19,1.2,0.036,85.0,0.9918,3.16,10.5
8.1,0.3,12.3,0.049,144.0,0.9971,3.09,10.2
6.5,0.19,0.8,0.043,144.0,0.9936,3.42,9.1
8.8,0.2,15.0,0.053,184.0,1.0008,3.28,8.8
6.9,0.23,16.4,0.045,153.0,0.9972,3.22,10.5
8.3,0.2,1.7,0.038,167.0,0.9939,3.05,10.1
7.3,0.41,6.8,0.057,163.0,0.9949,3.2,9.9
8.1,0.26,11.1,0.052,158.0,0.9976,3.03,10.2
7.5,0.19,1.6,0.047,140.0,0.9932,3.4,10.7
7.9,0.12,5.2,0.049,152.0,0.9952,3.18,10.6
6.0,0.28,19.3,0.051,174.0,0.99911,3.14,9.0
8.2,0.61,5.4,0.03,118.0,0.9954,3.14,9.6
8.2,0.37,1.0,0.034,93.0,0.9906,3.04,11.7
6.6,0.32,1.3,0.06,204.0,0.99512,3.59,9.2
6.9,0.4,5.95,0.081,303.0,0.99705,3.4,9.4
6.6,0.25,7.4,0.043,151.0,0.9946,3.15,10.2
8.5,0.15,1.5,0.031,122.0,0.9932,3.03,10.3
6.4,0.22,9.1,0.044,127.0,0.99326,2.97,11.0
6.4,0.29,3.6,0.2,181.0,0.9942,3.02,9.1
7.0,0.24,1.3,0.037,123.0,0.992,3.17,11.2
6.3,0.28,8.1,0.038,129.0,0.99248,3.26,12.1
6.3,0.34,4.9,0.035,185.0,0.9946,3.15,9.7
6.0,0.26,4.35,0.04,80.0,0.98934,3.29,12.7
6.2,0.26,3.4,0.049,172.0,0.9924,3.14,10.4
6.3,0.2,4.7,0.04,168.0,0.99278,3.07,10.7
6.8,0.27,8.2,0.055,192.0,0.99586,3.11,9.5
7.2,0.22,1.0,0.045,140.0,0.99,3.05,12.7
7.0,0.23,5.8,0.04,136.0,0.995,3.19,9.5
7.7,0.11,14.05,0.04,114.0,0.99634,3.07,11.0
6.7,0.41,5.4,0.035,115.0,0.9901,3.12,12.8933333333333
7.4,0.22,1.6,0.057,98.0,0.99299,3.29,9.9
7.1,0.23,1.9,0.046,103.0,0.98997,3.12,12.0
6.8,0.39,7.4,0.02,133.0,0.99212,3.18,12.0
7.6,0.26,7.9,0.041,180.0,0.9966,3.07,9.0
6.2,0.22,12.4,0.054,152.0,0.99728,3.1,9.5
7.3,0.28,1.2,0.033,142.0,0.99205,3.17,10.7
6.8,0.26,8.2,0.046,183.0,0.99584,3.2,9.4
6.2,0.25,1.3,0.051,135.0,0.9906,3.23,11.1
7.7,0.16,1.7,0.048,173.0,0.9932,3.24,11.2
6.3,0.32,17.75,0.06,190.0,0.99916,3.13,8.8
7.1,0.33,13.2,0.056,105.0,0.9972,3.05,9.2
8.1,0.17,1.6,0.036,119.0,0.99396,3.18,10.1
6.4,0.43,1.4,0.048,67.0,0.992,3.08,11.4
7.9,0.25,6.7,0.039,64.0,0.99362,2.93,10.7
5.7,0.28,1.2,0.052,141.0,0.99108,3.44,11.3
8.5,0.21,4.3,0.036,99.0,0.9947,3.18,9.7
6.5,0.29,7.9,0.049,192.0,0.99551,3.16,9.5
6.0,0.18,1.4,0.036,75.0,0.99085,3.34,11.1
5.8,0.29,10.7,0.038,136.0,0.99366,3.11,11.2
6.2,0.32,4.8,0.054,97.0,0.99424,3.16,9.3
7.2,0.26,2.1,0.033,158.0,0.9909,3.33,12.1
5.9,0.65,5.0,0.035,128.0,0.99016,3.46,12.8
8.3,0.19,1.2,0.051,137.0,0.9918,3.06,11.0
6.8,0.18,5.4,0.053,104.0,0.99445,3.3,9.4
7.1,0.26,8.2,0.051,187.0,0.996,3.16,9.7
8.0,0.34,6.4,0.035,103.0,0.99148,2.91,12.2
6.6,0.19,1.1,0.044,100.0,0.9904,3.22,11.2
6.1,0.21,1.5,0.039,122.0,0.98972,3.2,12.0
7.5,0.17,1.5,0.06,75.0,0.9936,3.54,10.7
7.1,0.27,10.4,0.041,114.0,0.99335,3.04,11.5
5.9,0.37,6.3,0.036,185.0,0.9944,3.17,9.8
6.7,0.13,5.3,0.051,122.0,0.9944,3.44,9.7
5.9,0.37,1.5,0.033,95.0,0.98986,3.36,12.0
8.3,0.15,1.3,0.055,146.0,0.993,3.08,10.5
7.0,0.23,7.2,0.041,90.0,0.99509,3.22,9.5
7.3,0.26,17.85,0.049,195.0,1.0,3.06,9.1
7.0,0.27,20.7,0.045,170.0,1.001,3.0,8.8
7.8,0.28,1.6,0.028,118.0,0.9901,3.0,12.1
6.9,0.4,6.2,0.065,178.0,0.99552,3.11,9.4
6.2,0.39,4.8,0.037,138.0,0.99174,3.23,11.2
6.2,0.22,2.2,0.04,125.0,0.9917,3.19,10.5
6.0,0.32,5.9,0.041,190.0,0.9944,3.16,10.0
9.2,0.23,1.1,0.031,99.0,0.9929,2.94,10.4
7.1,0.35,15.4,0.055,198.0,0.9988,3.12,8.8
6.8,0.18,5.4,0.054,143.0,0.99287,3.1,11.0
8.0,0.59,17.35,0.038,228.0,1.0,2.95,9.3
7.8,0.26,3.6,0.025,100.0,0.99066,2.99,12.1
7.2,0.43,6.7,0.058,163.0,0.995,3.2,9.9
6.5,0.18,14.2,0.039,129.0,0.99678,3.28,10.3
6.0,0.37,1.0,0.053,218.5,0.9924,3.29,9.8
7.4,0.25,7.25,0.028,78.0,0.99238,2.94,11.5
7.1,0.32,11.0,0.038,66.0,0.9937,3.24,11.5
6.8,0.17,1.4,0.04,106.0,0.99026,3.16,12.0
6.7,0.23,8.1,0.048,176.0,0.99472,3.11,10.1
7.6,0.19,1.1,0.04,143.0,0.9907,2.92,11.4
5.8,0.29,0.8,0.038,30.0,0.9924,3.36,9.2
6.6,0.23,14.9,0.051,118.0,0.99835,3.04,9.0
8.3,0.14,1.5,0.049,189.0,0.9946,3.21,9.5
6.3,0.41,0.9,0.032,98.0,0.99274,3.16,9.5
7.2,0.32,8.25,0.02,104.0,0.99362,2.99,11.4
6.7,0.23,1.8,0.036,96.0,0.9925,3.32,10.8
6.6,0.36,11.3,0.046,110.0,0.9966,3.07,9.4
7.0,0.24,12.3,0.035,172.0,0.9954,2.99,10.4
6.1,0.3,1.4,0.049,187.0,0.9927,3.19,9.5
6.5,0.25,9.9,0.045,128.0,0.99636,3.18,9.6
6.7,0.46,4.0,0.034,88.0,0.99016,3.26,13.0
6.8,0.3,4.6,0.061,238.5,0.9958,3.32,9.5
7.0,0.16,1.0,0.138,150.0,0.9936,3.08,9.2
6.5,0.22,8.0,0.053,196.0,0.9959,3.23,9.1
7.2,0.19,1.4,0.046,135.0,0.9939,3.34,10.2
7.0,0.35,1.1,0.049,119.0,0.99297,3.13,9.7
5.9,0.415,0.8,0.038,63.0,0.9932,3.36,9.3
7.2,0.17,17.55,0.05,154.0,0.99971,2.94,9.0
7.1,0.28,6.5,0.041,111.0,0.9926,3.41,12.2
6.9,0.25,2.4,0.038,76.0,0.99088,3.01,11.7
7.3,0.4,6.7,0.058,166.0,0.995,3.2,9.9
7.9,0.255,2.0,0.026,190.0,0.9932,3.04,11.2
6.8,0.11,1.1,0.042,132.0,0.99059,3.18,11.3
6.7,0.45,5.3,0.036,165.0,0.99122,3.12,12.2
7.4,0.24,10.1,0.05,105.0,0.9962,3.13,9.5
6.7,0.17,1.4,0.032,149.0,0.99254,3.4,10.5
6.8,0.22,4.9,0.092,123.0,0.9951,3.03,8.6
5.9,0.21,7.9,0.033,130.0,0.9944,3.38,10.9
9.4,0.24,8.5,0.037,208.0,0.99395,2.9,11.0
7.2,0.25,8.0,0.044,172.0,0.9964,3.16,9.2
6.7,0.25,8.6,0.037,206.0,0.99553,3.18,9.6
7.4,0.13,4.7,0.042,137.0,0.995,3.36,10.3
7.4,0.26,2.4,0.043,178.0,0.9941,3.42,10.6
6.2,0.29,5.6,0.046,178.0,0.99313,3.25,10.5333333333333
7.0,0.55,8.0,0.036,164.0,0.99269,3.26,12.2
6.0,0.2,1.1,0.033,67.0,0.98954,3.14,11.5
7.4,0.2,1.2,0.028,89.0,0.99132,3.14,11.8
6.4,0.16,1.0,0.036,113.0,0.9908,3.18,11.0
7.1,0.18,15.6,0.044,176.0,0.9996,3.38,9.0
6.4,0.14,7.9,0.057,82.0,0.99425,3.26,10.0
6.7,0.28,8.9,0.048,111.0,0.99455,3.25,11.0
6.4,0.45,1.1,0.03,131.0,0.9905,2.97,10.8
6.5,0.32,11.5,0.033,165.0,0.9974,3.22,9.0
6.8,0.27,7.8,0.048,197.0,0.9959,3.24,9.5
6.3,0.13,1.1,0.043,146.0,0.99066,3.13,11.2
6.6,0.16,1.1,0.13,140.0,0.9927,3.12,9.3
6.8,0.31,3.5,0.086,130.0,0.993,2.83,9.6
7.3,0.19,13.9,0.057,155.0,0.99807,2.94,8.8
5.1,0.23,1.0,0.053,99.0,0.98956,3.22,11.5
6.2,0.16,1.1,0.057,82.0,0.991,3.32,10.9
6.9,0.32,1.4,0.051,96.0,0.994,3.22,9.5
6.6,0.39,9.2,0.036,92.0,0.99206,3.07,12.1
5.9,0.12,4.8,0.03,110.0,0.99226,3.55,12.1
7.1,0.12,3.1,0.018,37.0,0.99004,3.02,11.9
7.1,0.47,14.8,0.024,142.0,0.99518,3.12,12.0
6.6,0.25,1.5,0.035,127.0,0.9921,3.41,11.3
8.1,0.33,7.4,0.037,156.0,0.99592,3.19,10.6
6.9,0.54,13.2,0.05,236.0,0.9973,3.2,9.6
6.2,0.27,1.5,0.028,111.0,0.99228,3.41,10.0
7.8,0.24,6.7,0.046,160.0,0.9963,3.2,9.8
8.8,0.34,9.7,0.036,172.0,0.9966,3.08,10.2
5.8,0.555,4.5,0.053,126.0,0.9943,3.24,9.1
3.9,0.225,4.2,0.03,118.0,0.989,3.57,12.8
6.1,0.41,1.6,0.063,87.0,0.9914,3.27,10.8
8.2,0.26,2.6,0.053,71.0,0.99402,2.89,9.5
7.5,0.23,7.0,0.036,161.0,0.9938,3.04,11.0
7.2,0.2,1.6,0.044,101.0,0.99471,3.37,10.0
7.5,0.29,8.1,0.037,166.0,0.9966,2.9,8.9
6.9,0.34,7.3,0.045,206.0,0.9957,3.09,9.0
6.7,0.26,5.8,0.025,74.0,0.9929,3.28,11.0
6.0,0.395,1.4,0.042,55.0,0.99135,3.37,11.2
6.9,0.23,8.3,0.047,162.0,0.9954,3.34,10.5
6.9,0.3,3.3,0.041,124.0,0.99428,3.18,9.3
6.2,0.3,2.8,0.04,125.0,0.9939,3.01,9.0
6.4,0.45,1.1,0.03,131.0,0.9905,2.97,10.8
6.9,0.36,13.55,0.048,189.0,0.99782,3.0,9.5
6.4,0.41,14.0,0.048,113.0,0.9982,3.44,9.8
7.4,0.29,1.8,0.042,127.0,0.9937,3.45,10.2
9.2,0.28,3.2,0.058,133.0,0.996,3.14,9.5
7.3,0.25,2.1,0.034,177.0,0.99085,3.25,11.9
7.2,0.15,1.2,0.038,110.0,0.9917,3.19,11.1
8.1,0.3,1.1,0.041,123.0,0.9914,2.99,11.1
6.4,0.15,1.8,0.044,115.0,0.99166,3.1,10.2
6.2,0.2,9.7,0.03,102.0,0.9908,3.08,12.9
7.3,0.2,2.3,0.048,87.0,0.99044,2.94,12.0
7.3,0.34,1.4,0.044,176.0,0.99286,3.14,9.9
7.2,0.27,2.4,0.048,149.0,0.9936,3.1,9.2
5.8,0.13,12.7,0.058,183.0,0.9956,3.32,11.7
6.5,0.36,1.1,0.031,66.0,0.9916,3.1,10.6
6.5,0.34,11.0,0.052,247.0,0.9984,3.44,9.3
6.1,0.35,2.3,0.034,133.0,0.9906,3.34,12.0
6.4,0.35,5.7,0.034,117.0,0.9944,3.33,10.1
5.7,0.22,16.0,0.044,113.0,0.99862,3.22,8.9
6.8,0.4,2.8,0.044,97.0,0.9904,3.12,11.2
8.1,0.31,8.2,0.028,142.0,0.9925,3.01,13.0
5.7,0.2,2.5,0.046,125.0,0.99276,3.34,9.9
5.8,0.2,1.0,0.035,86.0,0.98993,3.5,11.7
7.2,0.37,2.0,0.029,87.0,0.9903,3.3,12.6
8.9,0.27,0.8,0.024,128.0,0.98984,3.01,12.4
6.4,0.18,1.6,0.049,127.0,0.9934,3.6,10.4
7.0,0.12,6.3,0.057,103.0,0.9957,3.5,9.6
5.2,0.365,13.5,0.041,142.0,0.997,3.46,9.9
9.2,0.34,1.2,0.026,73.0,0.9921,3.08,10.8
6.7,0.18,10.6,0.035,143.0,0.99572,3.08,9.8
6.6,0.24,8.6,0.034,135.0,0.99582,3.33,10.3
5.8,0.26,9.2,0.044,152.0,0.9961,3.31,9.4
7.2,0.26,7.1,0.027,126.0,0.993,3.02,11.1
7.0,0.24,11.0,0.029,227.0,0.9965,3.03,9.5
6.6,0.21,18.15,0.042,158.0,0.9997,3.28,8.7
6.4,0.17,9.9,0.047,101.0,0.99596,3.34,9.9
6.0,0.17,9.7,0.044,98.0,0.99536,3.12,9.2
7.3,0.38,6.5,0.05,102.0,0.99304,3.1,11.2
5.6,0.33,1.2,0.031,97.0,0.99126,3.49,10.9
6.1,0.35,1.4,0.069,108.0,0.9934,3.23,9.2
7.3,0.41,1.8,0.032,74.0,0.98889,2.96,13.0
8.0,0.25,9.0,0.044,185.0,0.998,3.34,10.0
7.5,0.305,1.4,0.047,95.0,0.99158,3.22,11.5
8.0,0.25,17.2,0.036,219.0,0.9996,2.96,9.7
6.4,0.22,14.5,0.055,159.0,0.998,2.98,9.1
7.2,0.21,15.7,0.045,183.0,0.99922,3.25,9.4
6.3,0.27,5.8,0.038,155.0,0.995,3.28,9.4
6.4,0.25,6.6,0.038,234.0,0.9955,3.03,8.8
6.7,0.27,1.2,0.176,106.0,0.99288,2.96,9.2
7.5,0.28,1.3,0.044,126.0,0.99293,3.28,10.3
6.1,0.22,1.5,0.051,87.0,0.9928,3.3,9.6
7.1,0.17,14.55,0.047,156.0,0.99945,3.34,9.1
